Ip,Iq,Ntest,Po,Pp,Pq,Qo,Vcut,Vo,Zp,Zq
-1.83,-27.15,2.0,496.33,1.66,12.47,125.94,100.0,120.0,1.17,15.68
-1.83,-10.94,1.0,119.55,1.66,4.87,52.47,100.0,120.0,1.17,7.07
-4.1,-2.76,1.0,90.65,2.6,1.2,126.94,100.0,120.0,2.5,2.56
0.46,4.04,1.0,1109.01,-0.17,-1.71,487.08,100.0,120.0,0.71,-1.33
-0.23,-7.61,1.0,1168.54,0.99,3.82,844.71,174.0,208.0,0.24,4.79
1.71,-3.12,2.0,163.25,-0.24,1.78,83.28,100.0,120.0,-0.47,2.34
-0.38,-5.87,1.0,855.0,0.2,2.77,221.0,100.0,120.0,1.18,4.1
-0.72,-5.74,3.0,1381.17,1.32,2.98,1008.3,174.0,208.0,0.4,3.76
-1.03,-0.82,2.0,25.65,1.22,0.96,37.52,100.0,120.0,0.81,0.86
0.63,0.38,2.0,87.16,-0.1,0.07,0.85,100.0,120.0,0.47,0.55
0.64,-6.62,3.0,97.36,-0.1,3.36,0.84,100.0,120.0,0.46,4.26
1.13,-0.8,1.0,3.38,-0.71,0.02,5.85,100.0,120.0,0.58,1.78
-0.5,-21.59,3.0,59.02,1.28,12.95,5.06,100.0,120.0,0.22,9.64
3.79,-67.78,1.0,81.23,-1.21,32.6,8.2,100.0,120.0,-1.58,36.18
0.5,1.24,1.0,35.94,0.78,0.13,71.64,100.0,120.0,-0.28,-0.37
-0.3,0.6,1.0,118.9,1.1,0.4,172.79,100.0,120.0,0.2,0.0
-0.17,-1.72,1.0,208.03,1.06,1.14,-20.58,100.0,120.0,0.11,1.58
1.23,-0.93,3.0,60.65,0.4,1.17,67.61,100.0,120.0,-0.63,0.76
-0.52,-0.17,1.0,253.0,1.29,0.93,44.0,100.0,120.0,0.23,0.24
-0.21,-3.67,1.0,944.23,0.34,2.53,84.57,100.0,120.0,0.87,2.14
0.59,0.75,1.0,914.78,-0.23,0.12,1.46,100.0,120.0,0.64,0.13
-1.96,-93.55,2.0,1365.53,1.57,44.48,451.02,100.0,120.0,1.39,50.07
1.62,-6.0,1.0,1413.04,-0.75,3.11,13.32,100.0,120.0,0.13,3.89
-2.02,-18.64,2.0,113.7,2.02,10.84,26.37,100.0,120.0,1.0,8.8
-0.66,-59.83,2.0,450.0,0.8,28.29,102.94,100.0,120.0,0.86,32.54
0.7,-28.77,4.0,276.09,0.21,13.17,52.65,100.0,120.0,0.09,16.6
1.02,2.4,1.0,268.27,-0.54,-0.07,77.66,100.0,120.0,0.52,-1.33
-6.04,-1.29,1.0,44.5,4.08,0.81,4.8,100.0,120.0,2.96,1.48
0.7,0.66,1.0,256.2,-0.13,0.45,21.04,100.0,120.0,0.43,-0.11
