A_index,P_A,P_B,P_C,P_D,P_E,P_F
0,22.79830851,22.79830851,22.79830851,22.79830851,22.79830851,22.79830851
1,0,0,0,0,0,0
2,20.91377091,20.91377091,20.91377091,20.91377091,20.91377091,20.91377091
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,7.492186064,7.492186064,7.492186064,7.492186064,7.492186064,7.492186064
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,4.780290495,4.780290495,4.780290495,4.780290495,4.780290495,4.780290495
9,7.997793712,7.997793712,7.997793712,7.997793712,7.997793712,7.997793712
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,5.956977386,5.956977386,5.956977386,5.956977386,5.956977386,5.956977386
15,10.93951094,10.93951094,10.93951094,10.93951094,10.93951094,10.93951094
16,19.12116198,19.12116198,19.12116198,19.12116198,19.12116198,19.12116198
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
