A_index,P_A,P_B,P_C,P_D,P_E,P_F
0.0,53.06,57.24,68.19,58.42,32.1,53.07
1.0,0.0,11.89,8.83,6.28,6.9,5.01
2.0,14.68,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,7.4,0.0,0.0,4.29,11.88,8.19
6.0,0.0,0.0,0.0,2.25,2.47,1.08
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.25,5.2,5.85,4.77,8.24,5.33
9.0,5.37,9.53,7.1,8.88,12.59,10.96
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,1.55,2.04,1.48
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.79,1.93,1.59,2.27,2.49,2.27
15.0,7.7,4.73,4.04,2.5,3.43,2.49
16.0,6.75,8.27,3.68,4.37,12.01,6.02
17.0,0.0,1.21,0.72,0.83,1.12,0.66
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,3.59,4.73,3.44
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
