A_index,P_A,P_B,P_C,P_D,P_E,P_F
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,29.00675762,29.00675762,29.00675762,29.00675762,29.00675762,29.00675762
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,9.945174041,9.945174041,9.945174041,9.945174041,9.945174041,9.945174041
9,11.09269412,11.09269412,11.09269412,11.09269412,11.09269412,11.09269412
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,8.262144588,8.262144588,8.262144588,8.262144588,8.262144588,8.262144588
15,15.17276552,15.17276552,15.17276552,15.17276552,15.17276552,15.17276552
16,26.52046411,26.52046411,26.52046411,26.52046411,26.52046411,26.52046411
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
